Crop,Region,Season,Temperature_C,Humidity_%,Soil_pH,Soil_Moisture_%,Fertilizer_Name,Fertilizer_Amount_kg_per_acre,Pesticide_Name,Pesticide_Amount_kg_per_acre
Wheat,West Bengal,Rabi,26.3,66.24,6.88,14.71,Urea,125.36,Carbendazim,1.82
Sugarcane,Punjab,Zaid,29.22,68.35,5.57,46.84,NPK,251.36,Chlorpyrifos,4.106
Pulses,Karnataka,Kharif,32.4,52.16,6.25,35.25,DAP,86.63,Thiamethoxam,2.035
Groundnut,West Bengal,Kharif,23.79,56.32,6.4,38.97,Urea,100.88,Carbendazim,1.296
Mustard,Maharashtra,Rabi,28.38,88.18,6.41,65.13,Compost,74.62,Carbendazim,2.815
Maize,Odisha,Zaid,21.8,51.09,6.29,66.38,Compost,82.48,Imidacloprid,1.942
Wheat,Punjab,Zaid,23.44,67.87,7.06,51.24,NPK,140.2,Mancozeb,2.516
Cotton,Bihar,Rabi,28.07,78.96,6.79,47.14,Compost,106.96,Acephate,4.126
Rice,Rajasthan,Zaid,22.54,68.72,6.55,55.12,MOP,153.77,Chlorpyrifos,3.755
Maize,Uttar Pradesh,Rabi,32.53,71.74,6.42,32.52,Compost,76.86,Chlorantraniliprole,3.213
Rice,Andhra Pradesh,Zaid,28.51,86.83,6.57,45.97,Urea,166.93,Imidacloprid,4.323
Pulses,Uttar Pradesh,Kharif,21.37,81.35,6.19,54.24,Compost,57.75,Imidacloprid,2.487
Sugarcane,Karnataka,Kharif,23.95,65.19,7.31,53.5,Potash,217.5,Chlorpyrifos,3.921
Groundnut,Rajasthan,Kharif,29.09,83.13,7.26,46.85,Gypsum,55.72,Chlorpyrifos,3.655
Sugarcane,Uttar Pradesh,Zaid,35.35,55.9,6.89,27.49,Potash,183.26,Chlorpyrifos,3.926
Sugarcane,Tamil Nadu,Rabi,34.4,56.8,7.72,30.24,NPK,233.41,Malathion,3.57
Mustard,West Bengal,Zaid,29.41,41.43,6.98,26.41,SSP,94.37,Carbendazim,1.559
Cotton,Andhra Pradesh,Kharif,31.95,79.05,6.39,53.76,NPK,195.45,Buprofezin,3.505
Mustard,Rajasthan,Zaid,23.25,48.47,6.64,14.89,Urea,103.14,Mancozeb,1.426
Groundnut,Punjab,Rabi,31.28,66.54,7.55,23.3,Gypsum,42.6,Dimethoate,2.56
Sugarcane,Bihar,Rabi,28.47,51.91,6.78,51.5,Urea,235.09,Chlorpyrifos,3.799
Sugarcane,Uttar Pradesh,Rabi,31.32,85.58,6.55,33.36,NPK,243.38,Chlorpyrifos,5.126
Mustard,Andhra Pradesh,Zaid,24.96,65.72,6.65,43.49,Urea,109.47,Mancozeb,1.97
Wheat,Bihar,Zaid,23.1,62.92,8.25,39.03,NPK,127.13,Propiconazole,1.68
Mustard,Andhra Pradesh,Rabi,30.57,62.5,6.27,30.8,SSP,102.39,Carbendazim,1.663
Groundnut,Uttar Pradesh,Rabi,32.39,50.85,6.18,25.81,Compost,60.42,Carbendazim,1.822
Potato,Andhra Pradesh,Kharif,20.01,92.95,6.15,47.52,DAP,187.25,Cartap Hydrochloride,4.287
Groundnut,Rajasthan,Kharif,28.18,79.01,6.55,15.59,Compost,61.69,Carbendazim,2.557
Pulses,Karnataka,Zaid,31.59,79.62,6.3,30.64,DAP,88.34,Mancozeb,2.873
Cotton,Uttar Pradesh,Rabi,25.1,66.21,6.22,32.41,Potash,145.22,Acephate,2.929
Groundnut,Odisha,Zaid,22.19,82.07,6.59,46.63,Urea,110.5,Chlorpyrifos,3.152
Potato,Odisha,Zaid,23.61,65.94,5.99,45.74,Urea,194.53,Cartap Hydrochloride,2.878
Jowar,Rajasthan,Kharif,31.13,78.47,6.44,21.92,SSP,102.95,Imidacloprid,2.759
Potato,Karnataka,Rabi,28.96,86.85,6.66,42.63,DAP,202.5,Carbendazim,3.261
Cotton,Karnataka,Kharif,29.44,67.84,6.98,44.92,NPK,185.43,Buprofezin,3.087
Jowar,Punjab,Rabi,25.6,71.61,6.25,70.62,NPK,123.11,Imidacloprid,2.176
Pulses,Andhra Pradesh,Rabi,36.23,73.42,6.08,52.76,NPK,102.29,Imidacloprid,2.438
Mustard,Bihar,Rabi,29.1,87.53,5.6,31.92,SSP,104.57,Carbendazim,2.749
Jowar,Karnataka,Rabi,27.45,100,6.27,42.86,Urea,111.87,Imidacloprid,3.808
Sugarcane,West Bengal,Zaid,25.31,53.6,6.48,35.92,NPK,247.68,Malathion,3.668
Maize,Punjab,Kharif,27.48,51.73,6.17,43.38,DAP,118.88,Lambda-Cyhalothrin,2.771
Potato,Uttar Pradesh,Rabi,26.42,68.2,7.67,20.0,MOP,171.09,Cartap Hydrochloride,3.014
Pulses,Rajasthan,Rabi,21.73,85.18,6.3,43.14,NPK,99.17,Imidacloprid,2.561
Jowar,Rajasthan,Zaid,27.81,58.96,6.9,48.02,Urea,111.01,Lambda-Cyhalothrin,2.583
Jowar,Maharashtra,Rabi,32.81,64.14,6.77,39.82,Urea,110.63,Chlorpyrifos,2.254
Maize,Punjab,Rabi,32.63,67.88,6.36,31.26,Compost,72.36,Imidacloprid,2.88
Mustard,Tamil Nadu,Kharif,31.97,58.56,6.24,45.61,Urea,114.78,Imidacloprid,1.711
Jowar,Punjab,Rabi,30.02,65.04,6.18,57.81,SSP,100.89,Chlorpyrifos,2.569
Wheat,Punjab,Kharif,25.3,65.57,7.13,29.64,SSP,111.25,Carbendazim,1.602
Cotton,Uttar Pradesh,Rabi,31.93,63.08,7.61,42.94,NPK,174.37,Buprofezin,3.103
Wheat,Maharashtra,Kharif,30.12,66.83,6.1,25.35,SSP,116.91,Propiconazole,2.251
Cotton,West Bengal,Zaid,29.75,72.14,7.39,47.85,Potash,149.43,Imidacloprid,3.154
Groundnut,Maharashtra,Rabi,25.81,60.9,6.56,51.61,Urea,107.74,Chlorpyrifos,2.144
Rice,Tamil Nadu,Rabi,35.95,82.39,6.76,48.04,Urea,171.17,Chlorpyrifos,4.988
Jowar,Karnataka,Zaid,25.98,72.08,6.28,37.85,SSP,103.2,Chlorpyrifos,2.752
Wheat,Maharashtra,Kharif,32.21,75.98,6.26,48.05,Urea,134.86,Mancozeb,2.896
Maize,Maharashtra,Kharif,34.2,68.68,6.65,41.56,DAP,126.94,Chlorantraniliprole,3.153
Pulses,Tamil Nadu,Kharif,29.34,86.11,6.04,63.66,NPK,104.28,Thiamethoxam,3.425
Groundnut,Maharashtra,Zaid,22.11,67.65,5.44,55.65,Gypsum,49.82,Dimethoate,2.362
Wheat,West Bengal,Zaid,26.91,50.86,6.44,33.41,NPK,139.27,Mancozeb,2.115
Cotton,Odisha,Zaid,27.89,60.6,6.49,57.44,NPK,188.85,Acephate,2.915
Mustard,West Bengal,Rabi,21.08,81.96,6.5,25.2,Compost,70.43,Carbendazim,2.549
Jowar,Bihar,Zaid,34.41,74.29,5.79,68.2,SSP,105.87,Imidacloprid,2.744
Potato,Uttar Pradesh,Zaid,21.81,48.05,5.32,59.88,DAP,176.04,Carbendazim,2.194
Mustard,Karnataka,Kharif,32.37,54.22,7.22,34.28,Compost,62.54,Mancozeb,2.085
Jowar,Maharashtra,Kharif,31.42,56.84,6.54,44.41,Urea,118.64,Lambda-Cyhalothrin,2.293
Rice,Rajasthan,Zaid,22.94,60.98,6.35,16.98,Urea,147.8,Imidacloprid,2.225
