Crop,Region,Season,Temperature_C,Humidity_%,Soil_pH,Soil_Moisture_%,Fertilizer_Name,Fertilizer_Amount_kg,Pesticide_Name,Pesticide_Amount_kg
Wheat,Odisha,Kharif,26.3,68.24,6.91,16.61,Urea,118.19,Carbendazim,1.933
Pulses,Punjab,Zaid,29.5,83.08,6.23,62.32,NPK,117.91,Thiamethoxam,3.179
Pulses,Karnataka,Kharif,32.4,54.16,6.23,34.21,DAP,87.97,Thiamethoxam,2.065
Groundnut,Karnataka,Zaid,23.79,58.32,6.39,37.41,Urea,100.85,Carbendazim,1.29
Mustard,Maharashtra,Rabi,28.38,90.18,6.4,59.82,Compost,68.93,Carbendazim,3.047
Maize,Odisha,Zaid,21.8,53.09,6.28,60.9,Compost,85.15,Imidacloprid,1.95
Wheat,Punjab,Zaid,23.44,69.87,7.11,47.92,NPK,139.67,Mancozeb,2.675
Cotton,Bihar,Rabi,28.07,80.96,6.82,44.41,Compost,107.69,Acephate,4.358
Rice,Rajasthan,Zaid,22.54,70.72,6.56,51.24,MOP,154.53,Chlorpyrifos,3.928
Maize,Uttar Pradesh,Rabi,32.53,73.74,6.42,31.87,Compost,79.55,Chlorantraniliprole,3.423
Rice,Rajasthan,Kharif,28.51,88.83,6.58,43.4,Urea,167.48,Imidacloprid,4.569
Pulses,Karnataka,Kharif,28.96,46.47,5.73,35.58,DAP,80.77,Thiamethoxam,1.759
Pulses,Maharashtra,Rabi,31.22,80.5,6.99,45.47,DAP,95.66,Imidacloprid,2.917
Pulses,Rajasthan,Kharif,31.19,72.78,4.88,41.03,NPK,92.5,Mancozeb,2.62
Sugarcane,Uttar Pradesh,Zaid,34.12,57.9,6.93,27.56,Potash,185.05,Chlorpyrifos,3.906
Sugarcane,Tamil Nadu,Rabi,33.03,58.8,7.83,29.92,NPK,233.99,Malathion,3.539
Mustard,Tamil Nadu,Zaid,29.41,43.43,7.02,26.64,SSP,95.35,Carbendazim,1.569
Rice,Tamil Nadu,Zaid,24.62,73.59,6.47,39.72,Urea,167.63,Chlorpyrifos,3.777
Pulses,Uttar Pradesh,Zaid,33.57,50.53,6.85,52.11,NPK,98.47,Thiamethoxam,2.276
Maize,Odisha,Zaid,30.23,77.45,6.06,41.58,Urea,126.38,Imidacloprid,3.334
Maize,Uttar Pradesh,Rabi,28.13,77.05,5.55,59.79,DAP,123.43,Chlorantraniliprole,3.746
Rice,Odisha,Zaid,28.38,62.6,6.76,60.42,Urea,174.83,Chlorpyrifos,3.592
Mustard,Karnataka,Rabi,29.06,71.28,6.48,16.81,Compost,70.41,Carbendazim,2.18
Rice,Tamil Nadu,Zaid,31.32,65.42,6.48,32.95,Urea,162.8,Imidacloprid,3.239
Cotton,Karnataka,Rabi,26.34,60.4,5.94,39.8,NPK,176.0,Imidacloprid,2.474
Mustard,Tamil Nadu,Kharif,23.37,49.22,6.58,59.47,Compost,68.84,Imidacloprid,1.661
Sugarcane,Uttar Pradesh,Rabi,35.5,68.35,6.08,34.75,Potash,194.23,Imidacloprid,3.712
Sugarcane,Odisha,Zaid,35.2,83.09,7.08,44.77,Potash,202.54,Imidacloprid,4.763
Pulses,Bihar,Zaid,27.93,69.15,5.85,31.31,DAP,90.65,Thiamethoxam,2.059
Wheat,Odisha,Rabi,28.93,67.23,5.32,28.55,Urea,125.88,Mancozeb,2.475
Rice,Odisha,Zaid,27.59,82.8,6.15,42.9,Urea,161.26,Chlorpyrifos,4.401
Maize,Rajasthan,Rabi,30.06,67.69,6.28,49.4,DAP,123.08,Lambda-Cyhalothrin,3.281
Mustard,Karnataka,Kharif,25.86,74.46,7.37,7.33,Urea,100.89,Mancozeb,2.288
Rice,Tamil Nadu,Kharif,28.28,81.04,6.31,26.54,MOP,146.27,Imidacloprid,3.839
